GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lob-java,com.lob.model,State,24,0,0,0,6,0,6,0,6,0
lob-java,com.lob.model,LobRawJsonObjectDeserializer,13,0,0,0,4,0,2,0,2,0
lob-java,com.lob.model,AddressCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,BankAccountCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Setting,49,0,0,0,12,0,12,0,12,0
lob-java,com.lob.model,Service,24,0,0,0,6,0,6,0,6,0
lob-java,com.lob.model,EventData,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Object,79,0,0,0,21,0,16,0,16,0
lob-java,com.lob.model,LobObject,67,0,0,0,13,0,4,0,4,0
lob-java,com.lob.model,Check,93,0,0,0,27,0,20,0,20,0
lob-java,com.lob.model,Packaging,34,0,0,0,7,0,7,0,7,0
lob-java,com.lob.model,Country,24,0,0,0,6,0,6,0,6,0
lob-java,com.lob.model,StateCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,JobCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Address,126,0,0,0,35,0,26,0,26,0
lob-java,com.lob.model,CountryCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,ObjectCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,PostcardCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Bank_account,79,0,0,0,21,0,16,0,16,0
lob-java,com.lob.model,CheckCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,SettingCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,ServiceCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Postcard,76,0,0,0,23,0,17,0,17,0
lob-java,com.lob.model,DeletedStatus,6,0,0,0,2,0,2,0,2,0
lob-java,com.lob.model,LobRawJsonObject,3,0,0,0,1,0,1,0,1,0
lob-java,com.lob.model,Verify,6,0,0,0,2,0,2,0,2,0
lob-java,com.lob.model,PackagingCollection,17,0,0,0,7,0,5,0,5,0
lob-java,com.lob.model,Job,77,0,0,0,17,0,17,0,17,0
lob-java,com.lob.model,EventDataDeserializer,257,0,24,0,60,0,19,0,7,0
lob-java,com.lob.net,APIResource.Error,3,0,0,0,1,0,1,0,1,0
lob-java,com.lob.net,APIResource.ErrorContainer,3,0,0,0,1,0,1,0,1,0
lob-java,com.lob.net,LobResponse,23,0,0,0,10,0,5,0,5,0
lob-java,com.lob.net,APIResource,1221,0,88,0,215,0,66,0,20,0
lob-java,com.lob.net,APIResource.RequestMethod,48,0,0,0,2,0,4,0,4,0
lob-java,com.lob.net,APIResource.new Object() {...},26,0,0,0,1,0,1,0,1,0
lob-java,com.lob.exception,LobException,10,0,0,0,4,0,2,0,2,0
lob-java,com.lob.exception,InvalidRequestException,11,0,0,0,4,0,2,0,2,0
lob-java,com.lob.exception,APIException,5,0,0,0,2,0,1,0,1,0
lob-java,com.lob.exception,AuthenticationException,4,0,0,0,2,0,1,0,1,0
lob-java,com.lob.exception,APIConnectionException,9,0,0,0,4,0,2,0,2,0
lob-java,com.lob,Lob,3,2,0,0,1,1,1,1,1,1
